d-block href	col-4	col 4	col 5
https://dmns.app/tlds/com	com	VeriSign Global Registry Services	01/01/1985
https://dmns.app/tlds/cn	cn	China Internet Network Information Center (CNNIC)	28/11/1990
https://dmns.app/tlds/de	de	DENIC eG	05/11/1986
https://dmns.app/tlds/net	net	VeriSign Global Registry Services	01/01/1985
https://dmns.app/tlds/uk	uk	Nominet UK	24/07/1985
https://dmns.app/tlds/org	org	Public Interest Registry (PIR)	01/01/1985
https://dmns.app/tlds/nl	nl	SIDN (Stichting Internet Domeinregistratie Nederland)	25/04/1986
https://dmns.app/tlds/ru	ru	Coordination Center for TLD RU	07/04/1994
https://dmns.app/tlds/br	br	Comite Gestor da Internet no Brasil	18/04/1989
https://dmns.app/tlds/info	info	Identity Digital Limited	26/06/2001
https://dmns.app/tlds/au	au	.au Domain Administration (auDA)	05/03/1986
https://dmns.app/tlds/xyz	xyz	XYZ.COM LLC	06/02/2014
https://dmns.app/tlds/fr	fr	Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)	02/09/1986
https://dmns.app/tlds/eu	eu	EURid vzw/asbl	28/04/2005
https://dmns.app/tlds/it	it	IIT - CNR	23/12/1987
https://dmns.app/tlds/ca	ca	Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)	14/05/1987
https://dmns.app/tlds/in	in	National Internet Exchange of India	08/05/1989
https://dmns.app/tlds/online	online	Radix Technologies Inc. SEZC	06/03/2015
https://dmns.app/tlds/top	top	.TOP Registry	24/07/2014
https://dmns.app/tlds/us	us	Registry Services, LLC	15/02/1985
https://dmns.app/tlds/shop	shop	GMO Registry, Inc.	05/05/2016
https://dmns.app/tlds/icu	icu	Shortdot SA	06/03/2015
https://dmns.app/tlds/site	site	Radix Technologies Inc. SEZC	06/03/2015
https://dmns.app/tlds/mx	mx	"NIC-Mexico ITESM - Campus Monterrey"	01/02/1989
https://dmns.app/tlds/store	store	Radix Technologies Inc.	11/02/2016
https://dmns.app/tlds/cl	cl	NIC Chile (University of Chile)	27/01/1995
https://dmns.app/tlds/app	app	Charleston Road Registry Inc.	25/06/2015
https://dmns.app/tlds/ai	ai	Government of Anguilla	16/02/1995
https://dmns.app/tlds/co	co	Ministry of Information and Communications Technologies (MinTIC)	24/12/1991
https://dmns.app/tlds/ie	ie	University College Dublin, Computing Services, Computer Centre	27/01/1988
https://dmns.app/tlds/me	me	Government of Montenegro	24/09/2007
https://dmns.app/tlds/blog	blog	Knock Knock WHOIS There, LLC	12/05/2016
https://dmns.app/tlds/link	link	Nova Registry Ltd.	09/01/2014
https://dmns.app/tlds/io	io	Internet Computer Bureau Limited	16/09/1997
https://dmns.app/tlds/ly	ly	General Authority of Communications and Informatics (GACI)	23/04/1997
https://dmns.app/tlds/fm	fm	FSM Telecommunications Corporation	19/04/1995
https://dmns.app/tlds/ci	ci	Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)	14/02/1995
https://dmns.app/tlds/cisco	cisco	Cisco Technology, Inc.	16/04/2015
https://dmns.app/tlds/bostik	bostik	Bostik SA	06/11/2015
https://dmns.app/tlds/boston	boston	Registry Services, LLC	21/11/2016
https://dmns.app/tlds/bot	bot	Amazon Registry Services, Inc.	12/11/2015
https://dmns.app/tlds/boutique	boutique	Binky Moon, LLC	16/01/2014
https://dmns.app/tlds/box	box	Intercap Registry Inc.	27/10/2016
https://dmns.app/tlds/bradesco	bradesco	Banco Bradesco S.A.	29/05/2015
https://dmns.app/tlds/bridgestone	bridgestone	Bridgestone Corporation	16/04/2015
https://dmns.app/tlds/broadway	broadway	Celebrate Broadway, Inc.	08/10/2015
https://dmns.app/tlds/broker	broker	Dog Beach, LLC	06/03/2015
https://dmns.app/tlds/brother	brother	Brother Industries, Ltd.	09/04/2015
https://dmns.app/tlds/brussels	brussels	DNS.be vzw	05/06/2014
https://dmns.app/tlds/bs	bs	University of The Bahamas	03/09/1991
https://dmns.app/tlds/bt	bt	Ministry of Information and Communications	16/07/1997
https://dmns.app/tlds/build	build	Plan Bee LLC	09/01/2014
https://dmns.app/tlds/builders	builders	Binky Moon, LLC	19/12/2013
https://dmns.app/tlds/business	business	Binky Moon, LLC	18/08/2014
https://dmns.app/tlds/buy	buy	Amazon Registry Services, INC	20/11/2015
https://dmns.app/tlds/buzz	buzz	DOTSTRATEGY CO.	12/12/2013
https://dmns.app/tlds/bv	bv	Norid A/S	21/08/1997
https://dmns.app/tlds/bw	bw	Botswana Communications Regulatory Authority (BOCRA)	19/03/1993
https://dmns.app/tlds/by	by	Belarusian Cloud Technologies LLC	10/05/1994
https://dmns.app/tlds/bz	bz	University of Belize	03/09/1991
https://dmns.app/tlds/bzh	bzh	Association www.bzh	29/05/2014
https://dmns.app/tlds/cab	cab	Binky Moon, LLC	12/12/2013
https://dmns.app/tlds/cafe	cafe	Binky Moon, LLC	12/03/2015
https://dmns.app/tlds/cal	cal	Charleston Road Registry Inc.	04/09/2014
https://dmns.app/tlds/call	call	Amazon Registry Services, Inc.	12/11/2015
https://dmns.app/tlds/calvinklein	calvinklein	PVH gTLD Holdings LLC	28/07/2016
https://dmns.app/tlds/cam	cam	CAM Connecting SARL	09/06/2016
https://dmns.app/tlds/camera	camera	Binky Moon, LLC	31/10/2013
https://dmns.app/tlds/camp	camp	Binky Moon, LLC	12/12/2013
https://dmns.app/tlds/canon	canon	Canon Inc.	29/01/2015
https://dmns.app/tlds/capetown	capetown	ZA Central Registry NPC trading as ZA Central Registry	05/06/2014
https://dmns.app/tlds/capital	capital	Binky Moon, LLC	03/04/2014
https://dmns.app/tlds/capitalone	capitalone	Capital One Financial Corporation	04/08/2016
https://dmns.app/tlds/car	car	XYZ.COM LLC	26/08/2015
https://dmns.app/tlds/caravan	caravan	Caravan International, Inc.	22/05/2014
https://dmns.app/tlds/cards	cards	Binky Moon, LLC	06/02/2014
https://dmns.app/tlds/care	care	Binky Moon, LLC	17/04/2014
https://dmns.app/tlds/career	career	dotCareer LLC	20/03/2014
https://dmns.app/tlds/careers	careers	Binky Moon, LLC	12/12/2013
https://dmns.app/tlds/cars	cars	XYZ.COM LLC	12/03/2015
https://dmns.app/tlds/casa	casa	Registry Services, LLC	18/08/2014
https://dmns.app/tlds/case	case	Digity, LLC	27/10/2016
https://dmns.app/tlds/cash	cash	Binky Moon, LLC	17/04/2014
https://dmns.app/tlds/casino	casino	Binky Moon, LLC	13/02/2015
https://dmns.app/tlds/cat	cat	Fundacio puntCAT	19/12/2005
https://dmns.app/tlds/catering	catering	Binky Moon, LLC	30/01/2014
https://dmns.app/tlds/catholic	catholic	Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)	16/11/2016
https://dmns.app/tlds/cba	cba	COMMONWEALTH BANK OF AUSTRALIA	26/03/2015
https://dmns.app/tlds/cbn	cbn	The Christian Broadcasting Network, Inc.	20/11/2014
https://dmns.app/tlds/cbre	cbre	CBRE, Inc.	16/06/2016
https://dmns.app/tlds/cc	cc	eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services	13/10/1997
https://dmns.app/tlds/cd	cd	Office Congolais des Postes et Télécommunications - OCPT	20/08/1997
https://dmns.app/tlds/center	center	Binky Moon, LLC	12/12/2013
https://dmns.app/tlds/ceo	ceo	XYZ.COM LLC	19/12/2013
https://dmns.app/tlds/cern	cern	"European Organization for Nuclear Research (""CERN"")"	13/08/2014
https://dmns.app/tlds/cf	cf	Societe Centrafricaine de Telecommunications (SOCATEL)	24/04/1996
https://dmns.app/tlds/cfa	cfa	CFA Institute	16/04/2015
https://dmns.app/tlds/cfd	cfd	Shortdot SA	06/03/2015
https://dmns.app/tlds/cg	cg	Interpoint Switzerland	14/01/1997
https://dmns.app/tlds/ch	ch	SWITCH The Swiss Education & Research Network	20/05/1987
https://dmns.app/tlds/archi	archi	Identity Digital Limited	20/03/2014
https://dmns.app/tlds/army	army	Dog Beach, LLC	29/05/2014
https://dmns.app/tlds/arpa	arpa	Internet Architecture Board (IAB)	01/01/1985
https://dmns.app/tlds/art	art	UK Creative Ideas Limited	09/06/2016
https://dmns.app/tlds/arte	arte	Association Relative à la Télévision Européenne G.E.I.E.	24/09/2015
https://dmns.app/tlds/as	as	AS Domain Registry	12/06/1997
https://dmns.app/tlds/asda	asda	Asda Stores Limited	21/07/2016
https://dmns.app/tlds/asia	asia	DotAsia Organisation Ltd.	02/05/2007
https://dmns.app/tlds/associates	associates	Binky Moon, LLC	03/04/2014
https://dmns.app/tlds/at	at	nic.at GmbH	20/01/1988
https://dmns.app/tlds/athleta	athleta	The Gap, Inc.	14/07/2016
https://dmns.app/tlds/attorney	attorney	Dog Beach, LLC	22/05/2014
https://dmns.app/tlds/auction	auction	Dog Beach, LLC	24/04/2014
https://dmns.app/tlds/audi	audi	AUDI Aktiengesellschaft	12/11/2015
https://dmns.app/tlds/audible	audible	Amazon Registry Services, Inc.	19/05/2016
https://dmns.app/tlds/audio	audio	XYZ.COM LLC	08/05/2014
https://dmns.app/tlds/auspost	auspost	Australian Postal Corporation	11/08/2016
https://dmns.app/tlds/author	author	Amazon Registry Services, Inc.	12/11/2015
https://dmns.app/tlds/auto	auto	XYZ.COM LLC	12/03/2015
https://dmns.app/tlds/autos	autos	XYZ.COM LLC	01/05/2014
https://dmns.app/tlds/aw	aw	SETAR	20/02/1996
https://dmns.app/tlds/aws	aws	AWS Registry LLC	18/03/2016
https://dmns.app/tlds/ax	ax	Ålands landskapsregering	21/06/2006
https://dmns.app/tlds/axa	axa	AXA Group Operations SAS	13/03/2014
https://dmns.app/tlds/az	az	IntraNS	25/08/1993
https://dmns.app/tlds/azure	azure	Microsoft Corporation	30/04/2015
https://dmns.app/tlds/ba	ba	Universtiy Telinformatic Centre (UTIC)	14/08/1996
https://dmns.app/tlds/baby	baby	XYZ.COM LLC	14/01/2016
https://dmns.app/tlds/baidu	baidu	Baidu, Inc.	17/12/2015
https://dmns.app/tlds/banamex	banamex	Citigroup Inc.	21/07/2016
https://dmns.app/tlds/band	band	Dog Beach, LLC	01/10/2014
https://dmns.app/tlds/bank	bank	fTLD Registry Services, LLC	26/11/2014
https://dmns.app/tlds/bar	bar	Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable	13/02/2014
https://dmns.app/tlds/barcelona	barcelona	Municipi de Barcelona	04/06/2015
https://dmns.app/tlds/barclaycard	barclaycard	Barclays Bank PLC	08/01/2015
https://dmns.app/tlds/barclays	barclays	Barclays Bank PLC	08/01/2015
https://dmns.app/tlds/barefoot	barefoot	Gallo Vineyards, Inc.	24/10/2015
https://dmns.app/tlds/bargains	bargains	Binky Moon, LLC	16/01/2014
https://dmns.app/tlds/baseball	baseball	MLB Advanced Media DH, LLC	29/09/2016
https://dmns.app/tlds/basketball	basketball	Fédération Internationale de Basketball (FIBA)	13/10/2016
https://dmns.app/tlds/bauhaus	bauhaus	Werkhaus GmbH	12/03/2015
https://dmns.app/tlds/bayern	bayern	Bayern Connect GmbH	13/03/2014
https://dmns.app/tlds/bb	bb	Ministry of Innovation, Science and Smart Technology	03/09/1991
https://dmns.app/tlds/bbc	bbc	British Broadcasting Corporation	12/03/2015
https://dmns.app/tlds/bbt	bbt	BB&T Corporation	12/05/2016
